FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-49b4;2999;KAPINAWÁ;20901;2615805;03/09/2018;A;COORDENACAO REGIONAL NORDESTE I;POINT (-37.3069555556 -8.64168333333);Tupanatinga;Pernambuco;30202001969;-864.168.333;-3.730.695.556
aldeias_pontos.fid--75d69c06_184becf87ba_-49b3;307;KAPIVANAWAI;48701;1300201;;A;COORDENACAO REGIONAL DO VALE DO JAVARI;POINT (-72.3859972222 -7.04603888889);Atalaia do Norte;Amazonas;30202001892;-704.603.889;-7.238.599.722
aldeias_pontos.fid--75d69c06_184becf87ba_-49b2;1273;Kaprankrere;56801;1505551;21/09/2017;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-49.98851390890625 -7.846919325391609);Pau D´Arco;Pará;30202001906;-784.691.933;-4.998.851.391
aldeias_pontos.fid--75d69c06_184becf87ba_-49b1;1031;kÃ«prÃ«pÉ¨wei;50901;1300409;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-62.62405 0.882761111111);Barcelos;Amazonas;30202001955;0.88276111;-6.262.405
aldeias_pontos.fid--75d69c06_184becf87ba_-49b0;2053;KARAMAMBATAI;37901;1400704;01/06/2018;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-60.5875083333 5.13435);Uiramutã;Roraima;30202001955;513.435;-6.058.750.833
aldeias_pontos.fid--75d69c06_184becf87ba_-49af;2437;KARANAI;30101;1300300;24/07/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-59.2668777778 -3.45081666667);Autazes;Amazonas;30202001871;-345.081.667;-5.926.687.778
aldeias_pontos.fid--75d69c06_184becf87ba_-49ae;1310;Karanaí;44801;1302702;22/09/2017;A;COORDENACAO REGIONAL DO MADEIRA;POINT (-61.8463972222 -8.12727222222);Manicoré;Amazonas;30202001864;-812.727.222;-6.184.639.722
aldeias_pontos.fid--75d69c06_184becf87ba_-49ad;4756;Karapa;3002;1507300;28/03/2022;A;COORDENACAO REGIONAL CENTRO-LESTES DO PARÁ;POINT (-52.471 -5.90338888889);São Félix do Xingu;Pará;30202001913;-590.338.889;-52.471
aldeias_pontos.fid--75d69c06_184becf87ba_-49ac;1375;KARAPANATUBA;29801;1503754;11/04/2018;A;COORDENACAO REGIONAL DE TAPAJOS;POINT (-57.7289666667 -6.30323611111);Jacareacanga;Pará;30202001927;-630.323.611;-5.772.896.667
aldeias_pontos.fid--75d69c06_184becf87ba_-49ab;522;Karapijuty;49401;1600154;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-52.8178138889 1.15111944444);Pedra Branca do Amapari;Amapá;30202001899;115.111.944;-5.281.781.389
aldeias_pontos.fid--75d69c06_184becf87ba_-49aa;676;Kararaô;21501;1500602;19/08/2016;A;COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ;POINT (-52.8154194444 -3.90017777778);Altamira;Pará;30202001913;-390.017.778;-5.281.541.944
aldeias_pontos.fid--75d69c06_184becf87ba_-49a9;4968;KARATYNA (KA);49501;1303205;21/07/2022;A;COORDENACAO REGIONAL DE MANAUS;POINT (-61.1426111111 -1.47843055556);Novo Airão;Amazonas;30202001871;-147.843.056;-6.114.261.111
aldeias_pontos.fid--75d69c06_184becf87ba_-49a8;531;Karavovõ;49401;1600154;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-52.9273361111 0.801897222222);Pedra Branca do Amapari;Amapá;30202001899;0.80189722;-5.292.733.611
aldeias_pontos.fid--75d69c06_184becf87ba_-49a7;4972;KAREB RYNA (KS);49501;1303205;21/07/2022;A;COORDENACAO REGIONAL DE MANAUS;POINT (-60.5928777778 -1.55168055556);Novo Airão;Amazonas;30202001871;-155.168.056;-6.059.287.778
aldeias_pontos.fid--75d69c06_184becf87ba_-49a6;4624;Karema;28701;1507300;11/11/2021;A;COORDENACAO REGIONAL DE CUIABA;POINT (-53.6732777778 -7.211);São Félix do Xingu;Pará;30202002025;-7.211;-5.367.327.778
aldeias_pontos.fid--75d69c06_184becf87ba_-49a5;150;Kariá;47601;1600501;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-51.72725 3.43541666667);Oiapoque;Amapá;30202001899;343.541.667;-5.172.725
aldeias_pontos.fid--75d69c06_184becf87ba_-49a4;2294;KARIB;33801;5103858;09/07/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.1330305556 -12.9434055556);Gaúcha do Norte;Mato Grosso;30202002060;-1.294.340.556;-5.313.303.056
aldeias_pontos.fid--75d69c06_184becf87ba_-49a3;520;karibuene;47601;1600501;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-51.3023888889 3.34433333333);Oiapoque;Amapá;30202001899;334.433.333;-5.130.238.889
